age,sex,province,education,vote_liberal
63,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
19,Female,Ontario,High school diploma or a high school equivalency certificate,1
26,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
64,Male,Quebec,High school diploma or a high school equivalency certificate,0
62,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
65,Female,Quebec,High school diploma or a high school equivalency certificate,0
66,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
43,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
58,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",0
55,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
74,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
42,Male,Ontario,High school diploma or a high school equivalency certificate,0
56,Male,Ontario,High school diploma or a high school equivalency certificate,0
36,Female,Ontario,High school diploma or a high school equivalency certificate,0
73,Male,Ontario,"University certificate, diploma or degree above the bach...",0
42,Female,Quebec,Less than high school diploma or its equivalent,1
36,Male,Ontario,High school diploma or a high school equivalency certificate,1
50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
73,Male,Quebec,"College, CEGEP or other non-university certificate or di...",0
82,Male,Ontario,"University certificate, diploma or degree above the bach...",1
55,Male,Ontario,High school diploma or a high school equivalency certificate,0
71,Female,Ontario,"University certificate, diploma or degree above the bach...",0
42,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
77,Female,Ontario,"College, CEGEP or other non-university certificate or di...",0
57,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
56,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
64,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
23,Female,Quebec,High school diploma or a high school equivalency certificate,0
28,Male,Ontario,"University certificate, diploma or degree above the bach...",1
72,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
40,Female,Ontario,"University certificate, diploma or degree above the bach...",0
78,Female,Ontario,"University certificate, diploma or degree above the bach...",1
29,Male,Quebec,University certificate or diploma below the bachelor's level,0
59,Male,Quebec,High school diploma or a high school equivalency certificate,0
39,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
45,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
33,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",0
47,Female,Quebec,University certificate or diploma below the bachelor's level,0
70,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
43,Male,Ontario,High school diploma or a high school equivalency certificate,0
62,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
41,Male,Ontario,High school diploma or a high school equivalency certificate,0
68,Female,Ontario,High school diploma or a high school equivalency certificate,1
62,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
33,Female,Ontario,High school diploma or a high school equivalency certificate,1
35,Male,Quebec,High school diploma or a high school equivalency certificate,0
79,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",0
34,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,0
47,Male,Ontario,"University certificate, diploma or degree above the bach...",1
74,Female,Quebec,High school diploma or a high school equivalency certificate,0
46,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
47,Female,Quebec,"University certificate, diploma or degree above the bach...",0
36,Male,Alberta,Less than high school diploma or its equivalent,1
30,Female,Ontario,"University certificate, diploma or degree above the bach...",1
52,Female,Ontario,"University certificate, diploma or degree above the bach...",1
74,Female,Ontario,High school diploma or a high school equivalency certificate,0
71,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
48,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
65,Male,Nova Scotia,High school diploma or a high school equivalency certificate,0
86,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
73,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
72,Female,Ontario,High school diploma or a high school equivalency certificate,0
54,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
61,Male,Prince Edward Island,"University certificate, diploma or degree above the bach...",1
44,Male,Ontario,"University certificate, diploma or degree above the bach...",0
57,Female,Ontario,"College, CEGEP or other non-university certificate or di...",0
31,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
59,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
63,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
61,Male,Ontario,High school diploma or a high school equivalency certificate,0
72,Male,Ontario,High school diploma or a high school equivalency certificate,1
53,Male,Ontario,High school diploma or a high school equivalency certificate,0
30,Male,Quebec,"College, CEGEP or other non-university certificate or di...",0
23,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
59,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
73,Male,Ontario,Less than high school diploma or its equivalent,1
69,Female,Quebec,University certificate or diploma below the bachelor's level,1
83,Female,Ontario,University certificate or diploma below the bachelor's level,0
57,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
58,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
50,Female,Ontario,"University certificate, diploma or degree above the bach...",1
73,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,0
52,Female,Quebec,High school diploma or a high school equivalency certificate,0
79,Male,Nova Scotia,High school diploma or a high school equivalency certificate,0
70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
99,Female,Ontario,"University certificate, diploma or degree above the bach...",1
65,Male,Quebec,High school diploma or a high school equivalency certificate,0
64,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",0
72,Female,Ontario,"College, CEGEP or other non-university certificate or di...",0
39,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
35,Male,Alberta,"College, CEGEP or other non-university certificate or di...",0
67,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
69,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
61,Female,Ontario,High school diploma or a high school equivalency certificate,1
56,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
32,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
20,Male,Alberta,Less than high school diploma or its equivalent,0
63,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
75,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
58,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
76,Female,Ontario,"College, CEGEP or other non-university certificate or di...",0
59,Female,Quebec,University certificate or diploma below the bachelor's level,1
60,Female,Quebec,High school diploma or a high school equivalency certificate,0
56,Female,Quebec,High school diploma or a high school equivalency certificate,1
61,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
61,Female,Ontario,"University certificate, diploma or degree above the bach...",1
68,Female,Ontario,High school diploma or a high school equivalency certificate,1
62,Male,Quebec,"College, CEGEP or other non-university certificate or di...",0
39,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
38,Female,Quebec,High school diploma or a high school equivalency certificate,0
45,Female,Quebec,"College, CEGEP or other non-university certificate or di...",0
50,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",1
71,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
45,Male,Quebec,"University certificate, diploma or degree above the bach...",0
70,Female,Quebec,"University certificate, diploma or degree above the bach...",0
49,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
49,Male,Ontario,University certificate or diploma below the bachelor's level,0
54,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
51,Female,Quebec,High school diploma or a high school equivalency certificate,0
61,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
56,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
56,Female,Ontario,University certificate or diploma below the bachelor's level,0
64,Male,Ontario,"College, CEGEP or other non-university certificate or di...",1
44,Female,Ontario,"College, CEGEP or other non-university certificate or di...",1
52,Male,British Columbia,High school diploma or a high school equivalency certificate,0
65,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
57,Male,Quebec,"College, CEGEP or other non-university certificate or di...",0
53,Male,Quebec,"University certificate, diploma or degree above the bach...",1
47,Male,Ontario,"College, CEGEP or other non-university certificate or di...",0
82,Female,Ontario,High school diploma or a high school equivalency certificate,0
54,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
50,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",1
70,Female,Ontario,High school diploma or a high school equivalency certificate,0
58,Female,Quebec,"College, CEGEP or other non-university certificate or di...",1
60,Male,Ontario,"University certificate, diploma or degree above the bach...",0
25,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",1
61,Male,Ontario,High school diploma or a high school equivalency certificate,0
72,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
39,Male,Quebec,University certificate or diploma below the bachelor's level,0
56,Female,Ontario,"University certificate, diploma or degree above the bach...",1
36,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
71,Female,Quebec,High school diploma or a high school equivalency certificate,0
49,Female,Quebec,High school diploma or a high school equivalency certificate,0
52,Male,Quebec,"University certificate, diploma or degree above the bach...",0
59,Male,Ontario,High school diploma or a high school equivalency certificate,0
31,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
42,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0
76,Female,Ontario,High school diploma or a high school equivalency certificate,0
49,Male,Ontario,"University certificate, diploma or degree above the bach...",0
